                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                  1.051,                0.90927,                 1.1961,                0.85133,                0.76078,                 0.8374,                0.52228,                 1.3355,                0.82924,                 1.3909,                0.00208,                0.00208,                0.00208
                     82,                 1.0587,                0.89454,                 1.2015,                0.85683,                0.77802,                0.83751,                0.52073,                 1.3365,                0.80026,                  1.391,               0.001981,               0.001981,               0.001981
                     83,                 1.0489,                0.89622,                 1.1956,                0.85532,                 0.7517,                0.82796,                0.51795,                 1.3334,                0.80944,                 1.3972,               0.001882,               0.001882,               0.001882
                     84,                 1.0404,                  0.887,                 1.1944,                0.83854,                 0.7947,                0.83201,                0.52077,                 1.3405,                0.79349,                 1.4016,               0.001783,               0.001783,               0.001783
                     85,                 1.0219,                0.86724,                 1.1762,                0.88099,                0.76078,                0.84827,                 0.5266,                 1.3326,                0.79924,                 1.3825,               0.001684,               0.001684,               0.001684
                     86,                 1.0284,                0.86799,                 1.1776,                0.87627,                0.76078,                0.83993,                0.51894,                 1.3407,                0.81126,                 1.3999,               0.001585,               0.001585,               0.001585
                     87,                 1.0151,                0.84745,                 1.1766,                0.88025,                0.75862,                0.84859,                0.52676,                 1.3468,                0.79405,                 1.3998,               0.001486,               0.001486,               0.001486
                     88,                 1.0128,                 0.8637,                 1.1696,                0.87184,                0.76724,                0.84918,                0.52666,                 1.3302,                0.79444,                 1.3846,               0.001387,               0.001387,               0.001387
                     89,                 1.0021,                0.84335,                  1.161,                0.86502,                0.77802,                0.84945,                0.53296,                 1.3059,                0.77204,                   1.37,               0.001288,               0.001288,               0.001288
                     90,                0.96391,                0.71112,                 1.1411,                0.84692,                0.80819,                0.86165,                0.53171,                 1.3223,                0.77846,                 1.3986,               0.001189,               0.001189,               0.001189
                     91,                0.92503,                0.69013,                 1.1207,                0.84235,                0.80603,                0.86158,                0.52679,                  1.311,                0.76601,                 1.3887,                0.00109,                0.00109,                0.00109
                     92,                 0.9223,                0.68239,                 1.1238,                0.83242,                0.78879,                0.83995,                0.51943,                   1.33,                0.77327,                 1.4097,               0.000991,               0.000991,               0.000991
                     93,                0.90073,                0.66148,                 1.1059,                0.85929,                0.78017,                0.86007,                 0.5445,                  1.288,                0.75553,                 1.3691,               0.000892,               0.000892,               0.000892
                     94,                0.90256,                 0.6623,                 1.1037,                0.85298,                0.80388,                0.85914,                0.53921,                 1.2963,                0.75445,                 1.3941,               0.000793,               0.000793,               0.000793
                     95,                0.88176,                0.65739,                 1.1027,                 0.8444,                0.79531,                0.85131,                0.53312,                 1.3188,                0.76265,                 1.4082,               0.000694,               0.000694,               0.000694
                     96,                0.86682,                0.63949,                  1.086,                0.84673,                0.80388,                0.85677,                0.53729,                 1.3057,                0.75417,                 1.3883,               0.000595,               0.000595,               0.000595
                     97,                0.87101,                0.63537,                 1.0873,                0.81728,                0.81897,                0.85692,                0.54282,                 1.2984,                 0.7463,                 1.3911,               0.000496,               0.000496,               0.000496
                     98,                0.85644,                0.64027,                 1.0828,                0.87506,                0.76983,                 0.8547,                0.54744,                 1.2832,                 0.7406,                 1.3845,               0.000397,               0.000397,               0.000397
                     99,                0.85454,                0.62558,                 1.0826,                0.87936,                0.76293,                0.85565,                0.54277,                  1.292,                0.74265,                 1.3914,               0.000298,               0.000298,               0.000298
