                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.98246,                0.81902,                 1.1541,                0.84161,                0.75581,                  0.824,                0.52618,                 1.3228,                0.80365,                  1.386,               0.003268,               0.003268,               0.003268
                     70,                0.98044,                0.80824,                 1.1492,                0.86631,                0.78664,                0.84205,                0.52792,                 1.3348,                0.76029,                 1.4058,               0.003169,               0.003169,               0.003169
                     71,                0.97008,                 0.8013,                 1.1407,                0.84328,                0.79095,                0.83995,                0.52694,                 1.3242,                0.76298,                 1.3975,                0.00307,                0.00307,                0.00307
                     72,                0.97364,                 0.8185,                 1.1483,                0.84696,                0.78448,                0.84578,                0.52891,                 1.3079,                0.74395,                 1.3827,               0.002971,               0.002971,               0.002971
                     73,                0.96258,                0.79212,                 1.1399,                0.84106,                0.79957,                0.85721,                0.54292,                 1.3009,                0.75287,                 1.3699,               0.002872,               0.002872,               0.002872
                     74,                0.96627,                0.80985,                 1.1517,                0.86553,                0.78879,                0.84441,                0.53195,                 1.3022,                0.73974,                 1.3733,               0.002773,               0.002773,               0.002773
                     75,                 0.9346,                0.77196,                 1.1217,                0.83097,                0.80172,                0.85152,                0.53484,                 1.3221,                 0.7559,                 1.3784,               0.002674,               0.002674,               0.002674
                     76,                0.94644,                0.78882,                 1.1322,                0.85199,                0.79395,                0.84714,                0.53514,                 1.3014,                  0.745,                 1.3697,               0.002575,               0.002575,               0.002575
                     77,                0.92657,                 0.7647,                 1.1154,                0.80741,                0.81034,                0.83746,                0.54492,                 1.2728,                0.73126,                 1.3737,               0.002476,               0.002476,               0.002476
                     78,                0.90136,                0.74897,                 1.1111,                0.80955,                0.80616,                0.84486,                0.54397,                 1.2711,                0.72987,                  1.346,               0.002377,               0.002377,               0.002377
                     79,                0.88491,                0.73637,                 1.0959,                0.85971,                0.77586,                0.84985,                0.54295,                 1.2587,                0.72522,                 1.3544,               0.002278,               0.002278,               0.002278
                     80,                0.90411,                0.75394,                 1.1147,                0.84142,                0.78903,                0.83728,                0.53551,                 1.2936,                0.75053,                 1.3734,               0.002179,               0.002179,               0.002179
                     81,                0.88898,                0.72779,                 1.0983,                0.86278,                0.78595,                0.85687,                0.54139,                 1.2902,                0.71911,                 1.3657,                0.00208,                0.00208,                0.00208
                     82,                0.86782,                0.71123,                 1.0959,                0.83975,                0.79058,                0.84204,                0.54453,                 1.2918,                0.73428,                 1.3721,               0.001981,               0.001981,               0.001981
                     83,                0.85508,                0.70504,                 1.0916,                0.86853,                0.77371,                0.84804,                0.55794,                 1.2543,                0.69572,                 1.3587,               0.001882,               0.001882,               0.001882
                     84,                0.85664,                0.70237,                  1.081,                 0.8413,                0.79976,                0.85253,                0.55575,                 1.2549,                0.69721,                 1.3563,               0.001783,               0.001783,               0.001783
                     85,                0.85235,                0.71039,                 1.0875,                 0.8153,                0.81813,                0.85444,                0.55445,                 1.2667,                0.69276,                 1.3561,               0.001684,               0.001684,               0.001684
                     86,                0.85086,                0.69483,                 1.0801,                0.84107,                0.79095,                0.84669,                0.55115,                 1.2549,                 0.7025,                 1.3553,               0.001585,               0.001585,               0.001585
